machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,57598,2026-09-10 17:04:30.555809+00:00,2026-09-10 17:04:30.580845+00:00,2026-09-10 17:04:30.529676+00:00,2026-09-10 17:04:30.532007+00:00,2026-09-10 17:04:30.530068+00:00,2026-09-10 17:04:30.531233+00:00,2026-09-10 17:04:30.531705+00:00,,,,,0.392,1.165,1.939,0.472,24.104,25.035999999999998,51.169,CONFIRMED
M01,57599,2026-09-10 17:04:30.665866+00:00,2026-09-10 17:04:30.691342+00:00,2026-09-10 17:04:30.640944+00:00,2026-09-10 17:04:30.642213+00:00,2026-09-10 17:04:30.641309+00:00,2026-09-10 17:04:30.642417+00:00,2026-09-10 17:04:30.642992+00:00,,,,,0.365,1.108,0.9039999999999999,0.575,22.874,25.476,50.397999999999996,CONFIRMED
M01,57600,2026-09-10 17:04:30.769471+00:00,2026-09-10 17:04:30.796080+00:00,2026-09-10 17:04:30.744403+00:00,2026-09-10 17:04:30.745114+00:00,2026-09-10 17:04:30.744541+00:00,2026-09-10 17:04:30.745168+00:00,2026-09-10 17:04:30.745547+00:00,,,,,0.13799999999999998,0.627,0.5730000000000001,0.379,23.924,26.609,51.677,CONFIRMED
M01,57601,2026-09-10 17:04:30.870011+00:00,2026-09-10 17:04:30.894468+00:00,2026-09-10 17:04:30.848701+00:00,2026-09-10 17:04:30.849826+00:00,2026-09-10 17:04:30.848975+00:00,2026-09-10 17:04:30.849884+00:00,2026-09-10 17:04:30.850457+00:00,,,,,0.27399999999999997,0.909,0.851,0.5730000000000001,19.554,24.457,45.767,CONFIRMED
M01,57602,2026-09-10 17:04:30.973327+00:00,2026-09-10 17:04:31.001063+00:00,2026-09-10 17:04:30.951748+00:00,2026-09-10 17:04:30.952542+00:00,2026-09-10 17:04:30.951976+00:00,2026-09-10 17:04:30.952564+00:00,2026-09-10 17:04:30.952958+00:00,,,,,0.228,0.588,0.566,0.39399999999999996,20.369000000000003,27.736,49.315,CONFIRMED
M01,57603,2026-09-10 17:04:31.074399+00:00,2026-09-10 17:04:31.099287+00:00,2026-09-10 17:04:31.055052+00:00,2026-09-10 17:04:31.056003+00:00,2026-09-10 17:04:31.055228+00:00,2026-09-10 17:04:31.056285+00:00,2026-09-10 17:04:31.056717+00:00,,,,,0.176,1.057,0.775,0.432,17.682,24.888,44.235,CONFIRMED
M01,57604,2026-09-10 17:04:31.189848+00:00,2026-09-10 17:04:31.219713+00:00,2026-09-10 17:04:31.160023+00:00,2026-09-10 17:04:31.165985+00:00,2026-09-10 17:04:31.160295+00:00,2026-09-10 17:04:31.165112+00:00,2026-09-10 17:04:31.165558+00:00,,,,,0.272,4.817,5.6899999999999995,0.446,24.29,29.865,59.69,CONFIRMED
M01,57605,2026-09-10 17:04:31.301228+00:00,2026-09-10 17:04:31.335040+00:00,2026-09-10 17:04:31.268990+00:00,2026-09-10 17:04:31.270164+00:00,2026-09-10 17:04:31.269190+00:00,2026-09-10 17:04:31.270179+00:00,2026-09-10 17:04:31.270535+00:00,,,,,0.2,0.9890000000000001,0.9740000000000001,0.356,30.693,33.812000000000005,66.05,CONFIRMED
M01,57606,2026-09-10 17:04:31.393722+00:00,2026-09-10 17:04:31.423072+00:00,2026-09-10 17:04:31.372116+00:00,2026-09-10 17:04:31.373022+00:00,2026-09-10 17:04:31.372292+00:00,2026-09-10 17:04:31.372940+00:00,2026-09-10 17:04:31.373225+00:00,,,,,0.176,0.648,0.73,0.285,20.497,29.35,50.956,CONFIRMED
M01,57607,2026-09-10 17:04:31.497367+00:00,2026-09-10 17:04:31.524883+00:00,2026-09-10 17:04:31.475898+00:00,2026-09-10 17:04:31.476896+00:00,2026-09-10 17:04:31.476177+00:00,2026-09-10 17:04:31.477018+00:00,2026-09-10 17:04:31.477727+00:00,,,,,0.279,0.841,0.719,0.709,19.64,27.516,48.985,CONFIRMED
M01,57608,2026-09-10 17:04:31.601653+00:00,2026-09-10 17:04:31.629444+00:00,2026-09-10 17:04:31.579573+00:00,2026-09-10 17:04:31.580523+00:00,2026-09-10 17:04:31.579800+00:00,2026-09-10 17:04:31.582077+00:00,2026-09-10 17:04:31.582971+00:00,,,,,0.22699999999999998,2.277,0.723,0.894,18.682000000000002,27.791,49.870999999999995,CONFIRMED
M01,57609,2026-09-10 17:04:31.705279+00:00,2026-09-10 17:04:31.730889+00:00,2026-09-10 17:04:31.685073+00:00,2026-09-10 17:04:31.686438+00:00,2026-09-10 17:04:31.685418+00:00,2026-09-10 17:04:31.686405+00:00,2026-09-10 17:04:31.686890+00:00,,,,,0.345,0.987,1.02,0.48500000000000004,18.389,25.61,45.816,CONFIRMED
M01,57610,2026-09-10 17:04:31.809836+00:00,2026-09-10 17:04:31.835777+00:00,2026-09-10 17:04:31.790350+00:00,2026-09-10 17:04:31.792010+00:00,2026-09-10 17:04:31.790721+00:00,2026-09-10 17:04:31.792372+00:00,2026-09-10 17:04:31.792892+00:00,,,,,0.371,1.6509999999999998,1.289,0.5199999999999999,16.944,25.941,45.427,CONFIRMED
